drug_chembl_id,smiles,embedding,embedding_dim,model_name
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,"[ 0.00867808 -0.08597195 -0.026606    0.11053231  0.07518024  0.03893149
  0.11562435  0.13709083  0.06989599  0.07896728  0.20535541  0.05436635
  0.04227604 -0.23381029 -0.11337007 -0.2327221   0.02148454 -0.15130557
 -0.10988524  0.13807274  0.16504647 -0.03923671 -0.00347234  0.10276303
 -0.06969123 -0.00770002 -0.06315352  0.15542921 -0.05652508 -0.0535109
  0.02580179 -0.00726097 -0.18111454 -0.22448529  0.07057386 -0.00930583
  0.05000948 -0.03350964 -0.01242122  0.27301964  0.05002741  0.10635965
  0.24662586 -0.08225156  0.06129322  0.14716071  0.23266441  0.05039476
  0.14651288 -0.01547524  0.14305277  0.19881344  0.06824135  0.04899631
  0.03922568  0.1961206   0.01378462 -0.15744057 -0.18165387 -0.1387952
  0.00884509 -0.04574703  0.06801071  0.07769004 -0.15090509 -0.02528401
 -0.15891995 -0.10111462  0.06469537 -0.05303467 -0.01505705  0.13571931
  0.0378272  -0.03097827  0.1041868   1.57712924 -0.00938413  0.22432171
  0.13923545 -0.16300307  0.17249513 -0.10936067 -0.09216508 -0.00820286
  0.02356568 -0.02252535 -0.03331584 -0.05074894  0.1653294  -0.04517983
  0.11212104  0.12448489 -0.0601022   0.01085211 -0.03412309  0.05479125
  0.08427515  0.16928695 -0.10930731 -0.09538639 -0.09600408 -0.008012
  0.29679611  0.0934526   0.05789442 -0.0867518   0.0769534  -0.27228236
  0.0818238  -0.07706705  0.01435251  0.06718744 -0.09032024 -0.03007497
  0.03652557 -0.03124517  0.0960105   0.01093741  0.09349936 -0.04469664
 -0.0879805   0.10002329  0.00788631  0.0310489   0.01983741 -0.01465282
  0.02091379 -0.05702662  0.12576686  0.17702717  0.28721303 -0.02513826
  0.05073675  0.0270151  -0.10484442 -0.05509476  0.34413579 -0.0236692
  0.1458953   0.11528757 -0.11178534  0.09364698 -0.13578027  0.32106063
 -0.01543314  0.03622739 -0.1624697   0.02142411  0.00351171  0.02356032
  0.11816378  0.0049344  -0.07330209  0.01603466 -0.06661095 -0.03546532
 -0.15495151 -0.05229173  0.03852826 -0.17670661  0.08916517  0.09817726
  0.04642476  0.15321293  0.05023898  0.15560357 -0.07857879 -0.18378793
  0.09994483  0.11733027 -0.04130413  0.0855014  -0.08646218  0.20199274
  0.01108145 -0.07379553  0.09121262 -0.02459608 -0.13125776  0.09730489
  0.0265044   0.18770775  0.14008719  0.0911082   0.05468547 -0.15823559
  0.09414256  0.05890156  0.07632806  0.2807495  -0.04971917 -0.16271546
 -0.08133127  0.05835268 -0.1605535   0.05056511 -0.13480975 -0.04434048
 -0.04814623 -0.03517847 -0.08056263 -0.09022713  0.04162357 -0.10057202
  0.18404894  0.11530673  0.03415832 -0.0326515   0.00469845  0.09159674
  0.02425625 -0.05307152 -0.05817757 -0.11105659  0.02295026 -0.03808122
  0.01132041 -0.03234553 -0.16434188  0.12177415  0.08610112  0.05308228
  0.22372328  0.15361978 -0.2362811   0.0244072  -0.09103248  0.07705851
  0.04107527  0.16327456 -0.06440572 -0.04109602  0.20914482  0.04882731
 -0.13436508  0.12085553 -0.1740433   0.05157084 -0.00822506 -0.1059424
  0.1095784  -0.04422555 -0.15520306 -0.02940245  0.03991504 -0.00869266
 -0.07281616 -0.06450275  0.10362389 -0.07912464 -0.05236757 -0.04670602
 -0.04708302  0.01263508 -0.05320319 -0.10986259  0.03240548  0.28347391
  0.03685288 -0.08862139  0.17955519  0.0327698   0.02082305 -0.09751343
  0.26992151 -0.03229478  0.07419169  0.04957554  0.16854525 -0.05116826
 -0.06133126 -1.39696622  0.29457721  0.11207544 -0.05259613 -0.10556984
  0.09176744  0.06971829 -0.03156732 -0.06121122  0.14699155  0.07083198
 -0.01865001  0.08105674  0.04984156 -0.02098834 -0.29288924 -0.06827331
 -0.04087185  0.12177505  0.14266624  0.02167312  0.19411589 -0.01672922
  0.01630328  0.13018718  0.00921503  0.03314357 -0.1622936  -0.01104541
 -0.01415818  0.03233064  0.07242355 -0.05894864 -0.0105048   0.17461079
  0.15641581 -0.04476368  0.01426253 -0.21750666  0.02509232 -0.0987058
  0.06195956  0.0084235   0.11589321  0.12634796 -0.11904123  0.07620641
 -0.04435036  0.00697752  0.00767504  0.04665537 -0.0548771   0.03720468
  0.04744805  0.05071636 -0.14246382 -0.01059138 -0.01104957  0.06806032
  0.09290566  0.10106457  0.12825102  0.02587234 -0.20396486  0.05224438
 -0.03213507 -0.06035782 -0.12135351 -0.20119123 -0.1457542   0.17063235
 -0.05555647 -0.02877981  0.0304164   0.08629822 -0.1246838   0.18299939
 -0.03582197 -0.10222163  0.07138063 -0.01127496 -0.15179633 -0.15535535
 -0.19998455  0.04264439 -0.04167539  0.08774894 -0.00252262  0.00996026
  0.00551157  0.12632352  0.16911019 -0.03960194  0.03728902  0.1240145
 -0.07443614 -0.03733477  0.13168524  0.07637507  0.04557445  0.08736999
 -0.05066706  0.11137634 -0.19149594  0.0778579  -0.06605159 -0.00727318
 -0.10047061 -0.09323268  0.08410244  0.2152482   0.03212842 -0.14483835]",384,DeepChem/ChemBERTa-77M-MLM
CHEMBL1002,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,"[ 8.06661993e-02 -1.33874983e-01  3.40346359e-02  8.44830945e-02
  1.70309097e-01  1.69510320e-01  6.50055632e-02  2.65754759e-01
  7.93603510e-02  1.66993946e-01  4.56924066e-02  5.44258244e-02
 -1.38848060e-04 -2.76723683e-01  2.98604548e-01 -1.33641869e-01
  4.88082226e-03  4.32959571e-02 -2.74178833e-01  5.13847880e-02
  1.78172454e-01 -1.04102813e-01  3.47601250e-02  1.11438915e-01
  3.01997721e-01  1.63918495e-01 -1.49709493e-01  4.97697629e-02
 -5.68027012e-02 -6.11702465e-02 -1.29518688e-01 -9.35871992e-03
 -1.55421391e-01 -2.15427410e-02  8.82687718e-02 -6.98635802e-02
  1.58467516e-01  2.54393294e-02 -2.03105465e-01 -1.00940578e-02
 -7.21188635e-02  4.91345127e-04  3.49121839e-01  9.09865892e-04
 -6.15944795e-04 -3.25377434e-02  1.59193814e-01  1.48983791e-01
  1.49753183e-01  8.25962797e-02  9.66171175e-02  1.02870464e-01
  1.24323443e-01 -3.35615478e-03  9.45404246e-02  2.63094515e-01
 -1.56164795e-01 -1.98060125e-01 -9.33767408e-02 -1.02000281e-01
  1.23146787e-01 -6.84644282e-02  2.39444356e-02 -1.14058852e-02
 -1.22706451e-01  1.73438769e-02 -1.01417385e-01 -2.61893183e-01
  1.40193135e-01 -4.73909788e-02 -7.55342990e-02  1.53021559e-01
  1.11016110e-01 -1.15640955e-02  1.43478304e-01  1.71412683e+00
 -3.60094942e-02  2.89539367e-01  4.54605743e-02 -1.17655426e-01
 -2.43095569e-02  1.19221888e-01 -1.97908744e-01 -1.37166470e-01
  1.07960299e-01  2.58435663e-02 -2.50668645e-01 -1.93866700e-01
 -1.57777499e-02 -1.51352789e-02 -1.16730025e-02  1.69860095e-01
 -1.89481273e-01  6.43588603e-02  3.97018902e-02  7.26738721e-02
  6.17447533e-02  1.08625926e-01  1.09266907e-01 -9.32866409e-02
 -1.00319788e-01 -9.69843846e-03  1.86792865e-01  1.38228051e-02
  7.41646215e-02 -2.40327381e-02 -6.86634928e-02 -2.24661022e-01
  2.10713491e-01 -1.75966412e-01  2.28049811e-02  1.63147673e-01
  4.30456474e-02  1.81114405e-01 -1.41888812e-01 -1.15651757e-01
  2.05068234e-02  1.32141367e-01  2.25869879e-01 -5.21928817e-02
 -1.56848758e-01  8.85298029e-02  1.49935158e-02  4.82311100e-02
  9.61227436e-03  2.17255935e-01 -2.02938333e-01  6.20108936e-03
  8.50703642e-02  1.57270223e-01  2.63480157e-01 -5.96276931e-02
 -2.33066082e-01  5.53615391e-02  2.09127143e-01  1.33880144e-02
  3.52292985e-01 -1.96706682e-01 -3.27533968e-02 -6.42553046e-02
 -1.53205439e-01  2.17475370e-01 -2.10279778e-01  3.35650891e-01
  1.61658287e-01 -7.39849731e-02 -2.70050149e-02 -5.09586069e-04
 -1.60841763e-01  9.49286148e-02  4.37481664e-02 -8.05144608e-02
 -1.55909345e-01 -1.73760857e-02 -1.51080042e-01 -2.99047053e-01
 -4.31634933e-02  1.55429006e-01 -6.23155967e-04 -2.41032898e-01
 -4.83146086e-02 -3.72275151e-02  2.41889618e-02  1.01543620e-01
  2.46794112e-02 -4.23228294e-02 -3.82979438e-02 -1.40575588e-01
 -1.17260121e-01  7.32730329e-02  9.72299203e-02  6.03922792e-02
 -1.01811543e-01 -7.32490644e-02  4.08699773e-02 -2.09497046e-02
  4.81658392e-02 -1.08690094e-02 -3.33876535e-02  1.00018226e-01
 -1.12885144e-03  5.16743734e-02  1.93180427e-01  2.20583886e-01
 -1.05496142e-02 -1.61990628e-01  1.93787977e-01  2.02447772e-01
  1.09927997e-01  1.27485052e-01 -2.38418691e-02  4.70464863e-02
  7.41858780e-02 -3.71107981e-02 -1.39314502e-01  3.54517326e-02
 -1.38639629e-01 -7.17404336e-02  1.51092470e-01 -1.07735142e-01
 -1.14747360e-02  2.07370017e-02  1.93792999e-01 -1.22386917e-01
  1.64012596e-01  1.91176727e-01 -1.62230715e-01 -1.15313582e-01
 -4.21048813e-02  1.21904314e-01  2.45418139e-02 -8.03880543e-02
 -2.74783187e-02 -1.20803058e-01 -3.07140108e-02  6.03727512e-02
 -1.54099375e-01 -8.95300228e-03 -4.11467254e-02 -7.65309320e-04
  3.51843983e-01  4.80535552e-02  2.43921220e-01  3.09854478e-01
 -1.69202521e-01  3.59768085e-02 -1.88084301e-02  2.10926637e-01
  8.16411525e-02 -5.17047346e-02 -1.79122912e-03 -9.91911516e-02
  1.85192093e-01 -1.57667790e-02  1.57493316e-02 -5.96692041e-02
 -1.41046420e-01  1.02748550e-01  7.48393983e-02 -2.67688301e-04
  5.35656214e-02 -1.00466259e-01 -2.62625609e-02 -1.52875260e-01
 -1.28923073e-01 -1.84133351e-01  1.01773985e-01  5.62168397e-02
 -1.09734215e-01 -1.02803275e-01 -9.41630974e-02 -3.32138360e-01
 -5.18541271e-03 -7.66121522e-02 -1.75737903e-01 -2.67127287e-02
  1.50799632e-01  1.63719907e-01  8.85674283e-02 -3.20147388e-02
  7.46911950e-03  1.68202057e-01  7.88132921e-02  2.11511273e-02
  1.07322708e-01 -8.03381428e-02 -3.16559263e-02 -5.21977060e-02
  1.74396843e-01 -1.13312088e-01 -1.20369596e-02 -1.54988718e+00
  2.51904339e-01 -2.80987821e-04  4.25998718e-02 -1.75210863e-01
  1.73209533e-01  1.57814205e-01 -9.52075422e-02 -8.73142555e-02
  1.08239174e-01 -9.86321922e-03 -1.16243735e-01  1.27505362e-01
  6.24254569e-02 -1.50534306e-02 -1.31483153e-01 -5.54189794e-02
 -1.30915806e-01  1.28997833e-01  4.70160544e-02  7.74811534e-03
  9.22140703e-02  2.10767657e-01  5.63289970e-02 -8.06134790e-02
 -1.56749655e-02 -5.42100035e-02 -1.74590439e-01  9.37816277e-02
 -1.94508731e-01 -3.37769054e-02 -4.32348400e-02  5.84406927e-02
 -1.11395285e-01  3.75778340e-02  6.00192398e-02  2.98768375e-02
  1.52775273e-01 -8.72399360e-02 -2.10903466e-01 -1.59759954e-01
  9.15387273e-02  1.08883411e-01 -5.39196357e-02 -5.71056455e-02
 -9.40496847e-02  1.12800457e-01 -7.77055249e-02 -1.80648223e-01
 -2.30077580e-02  8.34061429e-02  1.82115585e-02  2.27618530e-01
  1.77991956e-01  4.41868082e-02 -2.03837246e-01  3.43228802e-02
 -5.96284792e-02  3.09819281e-01  2.35538363e-01 -5.62053807e-02
  1.97615743e-01  5.39657921e-02 -1.95079774e-01  3.18684094e-02
 -3.26121622e-03  7.04832003e-02 -2.87111057e-03 -2.22024590e-01
 -1.96755424e-01  1.88529968e-01  2.13661101e-02 -1.14920577e-02
 -4.74952944e-02  1.40252054e-01  7.09213465e-02  1.77419528e-01
 -5.18378429e-02 -5.77516034e-02  1.75495356e-01 -1.20000303e-01
 -1.13847025e-01  1.25641868e-01 -1.48739874e-01  1.50857255e-01
  3.63588147e-03 -1.02449827e-01  1.12900294e-01 -6.34245249e-03
  6.95593953e-02  1.47042423e-01  1.55921593e-01  1.07508257e-01
 -2.52346732e-02  1.94312379e-01 -9.28211138e-02  3.43863998e-04
  1.82035968e-01  2.86606587e-02  2.90708870e-01  1.42133668e-01
  8.73762593e-02  1.66153386e-02 -7.97610655e-02  2.13937417e-01
  3.46927568e-02 -3.10595538e-02 -6.43888721e-03 -1.17458649e-01
 -4.28253487e-02  6.33722767e-02 -1.30708724e-01 -3.55118960e-01]",384,DeepChem/ChemBERTa-77M-MLM
